entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lot,atr,pnl,exit_reason,max_favorable,max_adverse
2025-12-30 07:55:00+00:00,2025-12-30 08:01:00+00:00,BUY,4375.458,4369.7459696037295,4369.7459696037295,4386.882060792541,0.1,5.712030396270578,-57.120303962701655,SL,0.0,6.699999999999818
2025-12-30 08:20:00+00:00,2025-12-30 08:29:00+00:00,SELL,4364.714,4352.774922421932,4361.784538789034,4352.774922421932,0.1,5.969538789033834,119.39077578067554,TP,12.876999999999498,0.9059999999999491
2025-12-30 09:07:00+00:00,2025-12-30 09:22:00+00:00,BUY,4370.253,4371.018017048044,4371.018017048044,4381.066965903911,0.1,5.406982951955845,7.650170480446833,SL,6.17200000000048,0.75
2025-12-31 08:08:00+00:00,2025-12-31 08:49:00+00:00,SELL,4324.616,4313.354833157124,4319.483583421438,4313.354833157124,0.1,5.630583421438199,112.61166842876264,TP,11.451000000000022,2.9970000000002983
2025-12-31 09:07:00+00:00,2025-12-31 09:25:00+00:00,SELL,4316.5470000000005,4322.621139214554,4322.621139214554,4304.398721570892,0.1,6.074139214554135,-60.741392145537255,SL,5.660000000000764,7.632999999999811
2025-12-31 12:01:00+00:00,2025-12-31 12:30:00+00:00,SELL,4309.212,4307.821200410707,4307.821200410707,4299.761599178586,0.1,4.7252004107073775,13.907995892932377,SL,6.116000000000895,2.178999999999178
2026-01-02 07:11:00+00:00,2026-01-02 07:24:00+00:00,BUY,4375.196999999999,4371.999499015907,4371.999499015907,4381.592001968184,0.1,3.1975009840927564,-31.97500984092585,SL,2.928000000000793,3.2479999999995925
2026-01-02 07:46:00+00:00,2026-01-02 08:02:00+00:00,BUY,4377.433,4384.532290949014,4380.684354525493,4384.532290949014,0.1,3.5496454745070065,70.99290949014177,TP,7.520000000000437,1.412000000000262
2026-01-02 09:01:00+00:00,2026-01-02 09:21:00+00:00,BUY,4388.902,4384.8758008241875,4384.8758008241875,4396.954398351624,0.1,4.026199175812226,-40.261991758125085,SL,2.8040000000000873,4.881000000000313
2026-01-05 07:08:00+00:00,2026-01-05 07:47:00+00:00,BUY,4419.209,4420.360765066591,4420.360765066591,4428.713469866818,0.05,4.752234933409187,5.758825332954984,SL,5.904000000000451,2.1409999999996217
2026-01-05 07:59:00+00:00,2026-01-05 08:17:00+00:00,BUY,4421.976,4428.934063975243,4425.1169680123785,4428.934063975243,0.05,3.4790319876214024,34.79031987621511,TP,8.253999999999905,2.594999999999345
2026-01-05 08:35:00+00:00,2026-01-05 08:51:00+00:00,BUY,4426.018,4433.081294909486,4429.3433525452565,4433.081294909486,0.05,3.5316474547432017,35.31647454743052,TP,7.954999999999927,1.5100000000002183
2026-01-06 08:16:00+00:00,2026-01-06 08:25:00+00:00,BUY,4463.325,4470.612073453455,4466.608463273273,4470.612073453455,0.1,3.643536726727527,72.87073453455378,TP,8.768000000000029,0.41899999999986903
2026-01-06 08:42:00+00:00,2026-01-06 09:05:00+00:00,BUY,4466.728,4462.595667445101,4462.595667445101,4474.992665109799,0.1,4.132332554899616,-41.323325548992216,SL,2.6970000000001164,4.597999999999956
2026-01-06 12:35:00+00:00,2026-01-06 12:41:00+00:00,BUY,4462.214,4458.868184532316,4458.868184532316,4468.905630935367,0.1,3.3458154676837464,-33.458154676836784,SL,0.43000000000029104,3.4520000000002256
2026-01-07 07:16:00+00:00,2026-01-07 07:26:00+00:00,SELL,4449.173000000001,4453.848650863698,4453.848650863698,4439.821698272606,0.1,4.675650863697087,-46.756508636972285,SL,0.7770000000009532,5.786999999999352
2026-01-07 09:03:00+00:00,2026-01-07 09:07:00+00:00,BUY,4465.415999999999,4461.126120474767,4461.126120474767,4473.995759050463,0.1,4.289879525231923,-42.89879525232209,SL,0.6680000000005748,4.877999999999702
2026-01-07 12:39:00+00:00,2026-01-07 13:01:00+00:00,SELL,4451.534000000001,4448.632415417692,4448.632415417692,4441.165169164617,0.1,5.184415417691829,29.01584582308715,SL,8.08600000000024,2.5889999999990323
2026-01-08 07:44:00+00:00,2026-01-08 08:09:00+00:00,SELL,4431.429,4430.121973540542,4430.121973540542,4422.4150529189155,0.1,4.506973540542489,13.070264594580294,SL,5.814000000000306,2.6030000000000655
2026-01-08 08:19:00+00:00,2026-01-08 08:50:00+00:00,SELL,4428.778,4425.08101090916,4425.08101090916,4418.27997818168,0.1,5.24901090915998,36.96989090840361,SL,8.945999999999913,1.9269999999996799
2026-01-08 09:18:00+00:00,2026-01-08 09:31:00+00:00,SELL,4426.405000000001,4431.181172190163,4431.181172190163,4416.852655619675,0.1,4.776172190162896,-47.761721901624696,SL,0.49800000000050204,6.610999999998967
2026-01-09 07:15:00+00:00,2026-01-09 07:25:00+00:00,BUY,4472.19,4469.134035216442,4469.134035216442,4478.301929567116,0.1,3.055964783558171,-30.55964783558011,SL,0.8630000000002838,3.102999999999156
2026-01-09 07:35:00+00:00,2026-01-09 08:02:00+00:00,BUY,4470.103999999999,4467.02755705317,4467.02755705317,4476.2568858936565,0.1,3.076442946828722,-30.764429468290476,SL,3.367000000000189,3.722999999999047
2026-01-09 08:22:00+00:00,2026-01-09 08:30:00+00:00,BUY,4475.1759999999995,4471.788371971533,4471.788371971533,4481.951256056933,0.1,3.387628028466803,-33.87628028466679,SL,0.25200000000040745,3.757999999999811
2026-01-12 07:03:00+00:00,2026-01-12 07:15:00+00:00,BUY,4577.022999999999,4584.457914800391,4580.420542599803,4584.457914800391,0.05,3.7174574001962615,37.174574001960536,TP,8.273000000001048,1.6329999999989013
2026-01-12 07:29:00+00:00,2026-01-12 08:00:00+00:00,BUY,4581.634,4585.463148679518,4585.463148679518,4590.069702640964,0.05,4.217851320482057,19.14574339758929,SL,8.04699999999957,2.9849999999996726
2026-01-12 08:14:00+00:00,2026-01-12 08:44:00+00:00,BUY,4583.594999999999,4585.64413446115,4585.64413446115,4591.750731077699,0.05,4.077865538849823,10.245672305754852,SL,6.1270000000004075,4.048999999999069
2026-01-13 07:59:00+00:00,2026-01-13 08:04:00+00:00,SELL,4580.398,4584.321926897723,4584.321926897723,4572.550146204555,0.1,3.923926897722669,-39.23926897722595,SL,0.86200000000008,5.117999999999483
2026-01-13 08:18:00+00:00,2026-01-13 08:35:00+00:00,BUY,4587.2119999999995,4595.1599595506505,4589.836020224675,4595.1599595506505,0.1,3.973979775325547,79.47959550650921,TP,10.043000000000575,0.5579999999990832
2026-01-13 09:05:00+00:00,2026-01-13 09:27:00+00:00,BUY,4591.918,4588.22358748898,4588.22358748898,4599.3068250220385,0.1,3.6944125110195705,-36.94412511019436,SL,3.8530000000000655,3.8679999999994834
2026-01-14 07:01:00+00:00,2026-01-14 08:05:00+00:00,BUY,4634.58,4629.6570734399875,4629.6570734399875,4644.425853120024,0.1,4.922926560012076,-49.22926560012456,SL,5.024000000000342,8.453999999999724
2026-01-14 08:43:00+00:00,2026-01-14 08:54:00+00:00,BUY,4632.098999999999,4633.817916428553,4633.817916428553,4640.287167142893,0.1,4.094083571447004,17.189164285537117,SL,5.813000000001011,0.6239999999988868
2026-01-14 09:04:00+00:00,2026-01-14 09:32:00+00:00,BUY,4634.732999999999,4636.053249207228,4636.053249207228,4642.046501585544,0.1,3.656750792772426,13.202492072286987,SL,4.977000000000771,0.2459999999991851
2026-01-15 07:45:00+00:00,2026-01-15 08:07:00+00:00,SELL,4602.927000000001,4601.764058488727,4601.764058488727,4595.012883022548,0.1,3.957058488726573,11.62941511273857,SL,5.1200000000008,1.4589999999998327
2026-01-15 08:21:00+00:00,2026-01-15 09:37:00+00:00,SELL,4603.465,4607.591984687226,4607.591984687226,4595.21103062555,0.1,4.126984687225138,-41.26984687225559,SL,4.194000000000415,4.837999999999738
2026-01-15 12:00:00+00:00,2026-01-15 12:08:00+00:00,BUY,4620.2919999999995,4617.318524814895,4617.318524814895,4626.238950370209,0.1,2.973475185104854,-29.734751851046898,SL,0.45500000000083674,3.1439999999993233
2026-01-16 07:09:00+00:00,2026-01-16 07:43:00+00:00,BUY,4606.469,4601.967009818548,4601.967009818548,4615.472980362903,0.1,4.501990181451723,-45.01990181452129,SL,5.551000000000386,5.405999999999949
2026-01-16 07:57:00+00:00,2026-01-16 08:37:00+00:00,BUY,4608.670999999999,4604.365976961521,4604.365976961521,4617.281046076957,0.1,4.305023038478796,-43.05023038478794,SL,2.0750000000007276,4.893999999999323
2026-01-19 08:06:00+00:00,2026-01-19 08:49:00+00:00,BUY,4670.543,4666.649268322593,4666.649268322593,4678.330463354811,0.05,3.8937316774059663,-19.468658387031613,SL,3.292000000000371,4.742999999999483
2026-01-19 12:11:00+00:00,2026-01-19 12:17:00+00:00,BUY,4664.8949999999995,4671.307526879752,4666.821736560124,4671.307526879752,0.05,3.2062634398763064,32.062634398762384,TP,6.629000000000815,0.32999999999992724
2026-01-19 12:51:00+00:00,2026-01-19 13:42:00+00:00,BUY,4669.647,4666.648318088854,4666.648318088854,4675.644363822293,0.05,2.9986819111464698,-14.993409555731887,SL,4.039999999999964,3.117000000000189
2026-01-20 08:28:00+00:00,2026-01-20 08:36:00+00:00,BUY,4721.009999999999,4716.866104471358,4716.866104471358,4729.297791057281,0.1,4.143895528640959,-41.43895528641224,SL,3.736000000000786,4.8879999999990105
2026-01-20 09:20:00+00:00,2026-01-20 09:30:00+00:00,BUY,4725.025,4734.413051578612,4728.972974210695,4734.413051578612,0.1,4.6940257893060675,93.88051578612249,TP,11.200000000000728,0.7459999999991851
2026-01-20 12:05:00+00:00,2026-01-20 12:29:00+00:00,BUY,4729.866999999999,4726.379505366617,4726.379505366617,4736.8419892667625,0.1,3.4874946333818557,-34.874946333820844,SL,2.7420000000010987,3.569999999999709
2026-01-21 07:51:00+00:00,2026-01-21 08:33:00+00:00,BUY,4855.2919999999995,4861.582751611972,4861.582751611972,4871.4664967760555,0.1,8.087248388028097,62.90751611972155,SL,14.378000000000611,1.6019999999998618
2026-01-21 08:51:00+00:00,2026-01-21 08:58:00+00:00,BUY,4858.1359999999995,4852.3894112459475,4852.3894112459475,4869.6291775081045,0.1,5.7465887540523,-57.46588754052028,SL,0.0,6.059999999999491
2026-01-21 09:10:00+00:00,2026-01-21 09:26:00+00:00,BUY,4861.508,4872.165605507337,4864.043197246331,4872.165605507337,0.1,5.328802753668745,106.57605507337394,TP,11.20300000000043,3.451000000000022
2026-01-22 07:56:00+00:00,2026-01-22 08:09:00+00:00,BUY,4833.441,4829.098623113724,4829.098623113724,4842.125753772551,0.1,4.342376886275655,-43.42376886275815,SL,2.225000000000364,4.78899999999976
