time,balance,pnl,direction,reason
2025-12-30 08:01:00+00:00,99942.8796960373,-57.120303962701655,BUY,SL
2025-12-30 08:29:00+00:00,100062.27047181797,119.39077578067554,SELL,TP
2025-12-30 09:22:00+00:00,100069.92064229843,7.650170480446833,BUY,SL
2025-12-31 08:49:00+00:00,100182.5323107272,112.61166842876264,SELL,TP
2025-12-31 09:25:00+00:00,100121.79091858165,-60.741392145537255,SELL,SL
2025-12-31 12:30:00+00:00,100135.69891447459,13.907995892932377,SELL,SL
2026-01-02 07:24:00+00:00,100103.72390463366,-31.97500984092585,BUY,SL
2026-01-02 08:02:00+00:00,100174.7168141238,70.99290949014177,BUY,TP
2026-01-02 09:21:00+00:00,100134.45482236567,-40.261991758125085,BUY,SL
2026-01-05 07:47:00+00:00,100140.21364769863,5.758825332954984,BUY,SL
2026-01-05 08:17:00+00:00,100175.00396757486,34.79031987621511,BUY,TP
2026-01-05 08:51:00+00:00,100210.32044212229,35.31647454743052,BUY,TP
2026-01-06 08:25:00+00:00,100283.19117665684,72.87073453455378,BUY,TP
2026-01-06 09:05:00+00:00,100241.86785110785,-41.323325548992216,BUY,SL
2026-01-06 12:41:00+00:00,100208.40969643102,-33.458154676836784,BUY,SL
2026-01-07 07:26:00+00:00,100161.65318779404,-46.756508636972285,SELL,SL
2026-01-07 09:07:00+00:00,100118.75439254173,-42.89879525232209,BUY,SL
2026-01-07 13:01:00+00:00,100147.77023836481,29.01584582308715,SELL,SL
2026-01-08 08:09:00+00:00,100160.8405029594,13.070264594580294,SELL,SL
2026-01-08 08:50:00+00:00,100197.81039386781,36.96989090840361,SELL,SL
2026-01-08 09:31:00+00:00,100150.04867196619,-47.761721901624696,SELL,SL
2026-01-09 07:25:00+00:00,100119.4890241306,-30.55964783558011,BUY,SL
2026-01-09 08:02:00+00:00,100088.7245946623,-30.764429468290476,BUY,SL
2026-01-09 08:30:00+00:00,100054.84831437764,-33.87628028466679,BUY,SL
2026-01-12 07:15:00+00:00,100092.0228883796,37.174574001960536,BUY,TP
2026-01-12 08:00:00+00:00,100111.16863177718,19.14574339758929,BUY,SL
2026-01-12 08:44:00+00:00,100121.41430408294,10.245672305754852,BUY,SL
2026-01-13 08:04:00+00:00,100082.17503510571,-39.23926897722595,SELL,SL
2026-01-13 08:35:00+00:00,100161.65463061222,79.47959550650921,BUY,TP
2026-01-13 09:27:00+00:00,100124.71050550202,-36.94412511019436,BUY,SL
2026-01-14 08:05:00+00:00,100075.4812399019,-49.22926560012456,BUY,SL
2026-01-14 08:54:00+00:00,100092.67040418743,17.189164285537117,BUY,SL
2026-01-14 09:32:00+00:00,100105.87289625972,13.202492072286987,BUY,SL
2026-01-15 08:07:00+00:00,100117.50231137246,11.62941511273857,SELL,SL
2026-01-15 09:37:00+00:00,100076.23246450021,-41.26984687225559,SELL,SL
2026-01-15 12:08:00+00:00,100046.49771264916,-29.734751851046898,BUY,SL
2026-01-16 07:43:00+00:00,100001.47781083464,-45.01990181452129,BUY,SL
2026-01-16 08:37:00+00:00,99958.42758044985,-43.05023038478794,BUY,SL
2026-01-19 08:49:00+00:00,99938.95892206281,-19.468658387031613,BUY,SL
2026-01-19 12:17:00+00:00,99971.02155646158,32.062634398762384,BUY,TP
2026-01-19 13:42:00+00:00,99956.02814690585,-14.993409555731887,BUY,SL
2026-01-20 08:36:00+00:00,99914.58919161944,-41.43895528641224,BUY,SL
2026-01-20 09:30:00+00:00,100008.46970740556,93.88051578612249,BUY,TP
2026-01-20 12:29:00+00:00,99973.59476107174,-34.874946333820844,BUY,SL
2026-01-21 08:33:00+00:00,100036.50227719147,62.90751611972155,BUY,SL
2026-01-21 08:58:00+00:00,99979.03638965095,-57.46588754052028,BUY,SL
2026-01-21 09:26:00+00:00,100085.61244472432,106.57605507337394,BUY,TP
2026-01-22 08:09:00+00:00,100042.18867586156,-43.42376886275815,BUY,SL
2026-01-22 08:32:00+00:00,99997.57457108809,-44.61410477347272,BUY,SL
2026-01-22 09:11:00+00:00,100080.37025028127,82.79567919317743,BUY,TP
2026-01-23 07:24:00+00:00,100083.39871063724,3.028460355963034,BUY,SL
2026-01-23 07:41:00+00:00,100038.41915612046,-44.97955451677627,BUY,SL
2026-01-23 10:16:00+00:00,99960.54803997137,-77.87111614909918,SELL,SL
2026-01-26 08:51:00+00:00,99991.89485153981,31.34681156843726,BUY,SL
2026-01-26 09:39:00+00:00,100002.10530633542,10.21045479561053,BUY,SL
2026-01-26 12:18:00+00:00,99979.91277949559,-22.19252683983541,BUY,SL
2026-01-27 07:10:00+00:00,100004.19338337242,24.280603876832174,BUY,SL
2026-01-27 07:25:00+00:00,99939.47696593688,-64.71641743553846,BUY,SL
2026-01-27 08:00:00+00:00,99871.59509501711,-67.88187091977306,BUY,SL
2026-01-28 09:07:00+00:00,99917.34792383591,45.75282881880412,BUY,SL
2026-01-28 12:29:00+00:00,99842.1738545729,-75.17406926301192,BUY,SL
2026-01-28 13:03:00+00:00,99983.58365022969,141.4097956567912,BUY,TP
2026-01-29 10:00:00+00:00,99862.72883944897,-120.85481078071099,BUY,SL
2026-01-29 12:20:00+00:00,99911.29008714948,48.56124770050883,BUY,SL
2026-01-29 13:11:00+00:00,99818.15048625077,-93.13960089871216,BUY,SL
2026-01-30 07:37:00+00:00,100048.8519029082,230.70141665742088,SELL,SL
2026-01-30 07:57:00+00:00,99828.30123775381,-220.55066515437832,SELL,SL
2026-01-30 08:33:00+00:00,100303.74271637008,475.441478616267,SELL,TP
2026-02-02 13:15:00+00:00,100391.32061042714,87.57789405705353,BUY,SL
2026-02-02 13:41:00+00:00,100698.56092125525,307.2403108281105,SELL,TP
2026-02-02 14:33:00+00:00,100554.18378375015,-144.37713750509374,SELL,SL
2026-02-03 09:16:00+00:00,100421.08056453044,-133.1032192197108,BUY,SL
2026-02-03 10:56:00+00:00,100289.21523667782,-131.86532785261988,BUY,SL
2026-02-03 13:11:00+00:00,100335.13647980835,45.921243130533185,BUY,SL
2026-02-04 07:29:00+00:00,100524.96959003204,189.83311022368073,BUY,TP
2026-02-04 08:03:00+00:00,100582.68187966873,57.71228963669274,BUY,SL
2026-02-04 09:12:00+00:00,100488.71518464778,-93.96669502094484,BUY,SL
2026-02-05 07:52:00+00:00,100336.19450579604,-152.5206788517335,SELL,SL
2026-02-05 09:01:00+00:00,100584.16843448808,247.9739286920358,SELL,TP
2026-02-05 09:56:00+00:00,100893.87604208427,309.70760759620134,SELL,TP
2026-02-06 07:25:00+00:00,100740.20022329519,-153.67581878907913,SELL,SL
2026-02-06 07:59:00+00:00,100625.4791744672,-114.72104882799614,BUY,SL
2026-02-06 09:01:00+00:00,100630.7093184818,5.230144014603866,BUY,SL
2026-02-09 08:30:00+00:00,100647.11260101026,16.403282528463027,BUY,SL
2026-02-09 09:26:00+00:00,100607.67679815159,-39.435802858670286,BUY,SL
2026-02-09 12:49:00+00:00,100618.17607996716,10.499281815568793,BUY,SL
2026-02-10 07:33:00+00:00,100548.0633779552,-70.11270201196567,SELL,SL
2026-02-10 08:30:00+00:00,100551.98015921122,3.9167812560208404,BUY,SL
2026-02-10 09:09:00+00:00,100688.77824375613,136.7980845448983,BUY,TP
